STK_CONCEPTO;CATEGORIA;CATEGORIA_TEXTO;ESTADO;VALIDADO;MODELADO;USUARIO_VALIDA;FECHA_VALIDA;CONSULTAR;OBSERVACION;COMERCIALIZADO;GRADO_DEFINICION;FECHA_REGISTRO;USUARIO_REGISTRO
379;404684003;Problemas;1;0;0;;;0;;0;;;
380;404684003;Problemas;1;0;0;;;0;;0;;;
381;404684003;Problemas;1;0;0;;;0;;0;;;
382;404684003;Problemas;1;0;0;;;0;;0;;;
383;404684003;Problemas;1;0;0;;;0;;0;;;
384;404684003;Problemas;1;0;0;;;0;;0;;;
385;404684003;Problemas;1;0;0;;;0;;0;;;
386;404684003;Problemas;1;0;0;;;0;;0;;;
387;404684003;Problemas;1;0;0;;;0;;0;;;
388;404684003;Problemas;1;0;0;;;0;;0;;;
389;404684003;Problemas;1;0;0;;;0;;0;;;
390;404684003;Problemas;1;0;0;;;0;;0;;;
391;404684003;Problemas;1;0;0;;;0;;0;;;
392;404684003;Problemas;1;0;0;;;0;;0;;;
393;404684003;Problemas;1;0;0;;;0;;0;;;
394;404684003;Problemas;1;0;0;;;0;;0;;;
395;404684003;Problemas;1;0;0;;;0;;0;;;
396;404684003;Problemas;1;0;0;;;0;;0;;;
397;404684003;Problemas;1;0;0;;;0;;0;;;
398;404684003;Problemas;1;0;0;;;0;;0;;;
399;404684003;Problemas;1;0;0;;;0;;0;;;
400;404684003;Problemas;1;0;0;;;0;;0;;;
401;404684003;Problemas;1;0;0;;;0;;0;;;
403;404684003;Problemas;1;0;0;;;0;;0;;;
404;404684003;Problemas;1;0;0;;;0;;0;;;
405;404684003;Problemas;1;0;0;;;0;;0;;;
406;404684003;Problemas;1;0;0;;;0;;0;;;
407;404684003;Problemas;1;0;0;;;0;;0;;;
408;404684003;Problemas;1;0;0;;;0;;0;;;
409;404684003;Problemas;1;0;0;;;0;;0;;;
410;404684003;Problemas;1;0;0;;;0;;0;;;
411;404684003;Problemas;1;0;0;;;0;;0;;;
412;71388002;Procedimiento;1;0;0;;;0;;0;;;
413;404684003;Problemas;1;0;0;;;0;;0;;;
414;404684003;Problemas;1;0;0;;;0;;0;;;
415;404684003;Problemas;1;0;0;;;0;;0;;;
416;404684003;Problemas;1;0;0;;;0;;0;;;
417;404684003;Problemas;1;0;0;;;0;;0;;;
418;404684003;Problemas;1;0;0;;;0;;0;;;
419;404684003;Problemas;1;0;0;;;0;;0;;;
420;404684003;Problemas;1;0;0;;;0;;0;;;
421;404684003;Problemas;1;0;0;;;0;;0;;;
422;404684003;Problemas;1;0;0;;;0;;0;;;
423;404684003;Problemas;1;0;0;;;0;;0;;;
424;404684003;Problemas;1;0;0;;;0;;0;;;
425;404684003;Problemas;1;0;0;;;0;;0;;;
426;404684003;Problemas;1;0;0;;;0;;0;;;
427;404684003;Problemas;1;0;0;;;0;;0;;;
428;404684003;Problemas;1;0;0;;;0;;0;;;
429;404684003;Problemas;1;0;0;;;0;;0;;;
430;404684003;Problemas;1;0;0;;;0;;0;;;
431;404684003;Problemas;1;0;0;;;0;;0;;;
432;404684003;Problemas;1;0;0;;;0;;0;;;
433;404684003;Problemas;1;0;0;;;0;;0;;;
434;404684003;Problemas;1;0;0;;;0;;0;;;
435;404684003;Problemas;1;0;0;;;0;;0;;;
436;404684003;Problemas;1;0;0;;;0;;0;;;
437;404684003;Problemas;1;0;0;;;0;;0;;;
438;404684003;Problemas;1;0;0;;;0;;0;;;
439;404684003;Problemas;1;0;0;;;0;;0;;;
440;404684003;Problemas;1;0;0;;;0;;0;;;
441;404684003;Problemas;1;0;0;;;0;;0;;;
442;404684003;Problemas;1;0;0;;;0;;0;;;
443;404684003;Problemas;1;0;0;;;0;;0;;;
444;404684003;Problemas;1;0;0;;;0;;0;;;
445;404684003;Problemas;1;0;0;;;0;;0;;;
446;404684003;Problemas;1;0;0;;;0;;0;;;
447;404684003;Problemas;1;0;0;;;0;;0;;;
448;404684003;Problemas;1;0;0;;;0;;0;;;
449;404684003;Problemas;1;0;0;;;0;;0;;;
450;404684003;Problemas;1;0;0;;;0;;0;;;
451;404684003;Problemas;1;0;0;;;0;;0;;;
452;404684003;Problemas;1;0;0;;;0;;0;;;
453;404684003;Problemas;1;0;0;;;0;;0;;;
454;404684003;Problemas;1;0;0;;;0;;0;;;
455;404684003;Problemas;1;0;0;;;0;;0;;;
456;404684003;Problemas;1;0;0;;;0;;0;;;
457;404684003;Problemas;1;0;0;;;0;;0;;;
458;404684003;Problemas;1;0;0;;;0;;0;;;
459;404684003;Problemas;1;0;0;;;0;;0;;;
460;404684003;Problemas;1;0;0;;;0;;0;;;
461;404684003;Problemas;1;0;0;;;0;;0;;;
462;404684003;Problemas;1;0;0;;;0;;0;;;
463;404684003;Problemas;1;0;0;;;0;;0;;;
464;404684003;Problemas;1;0;0;;;0;;0;;;
465;404684003;Problemas;1;0;0;;;0;;0;;;
466;404684003;Problemas;1;0;0;;;0;;0;;;
467;404684003;Problemas;1;0;0;;;0;;0;;;
468;404684003;Problemas;1;0;0;;;0;;0;;;
469;404684003;Problemas;1;0;0;;;0;;0;;;
470;404684003;Problemas;1;0;0;;;0;;0;;;
471;404684003;Problemas;1;0;0;;;0;;0;;;
472;404684003;Problemas;1;0;0;;;0;;0;;;
473;404684003;Problemas;1;0;0;;;0;;0;;;
474;404684003;Problemas;1;0;0;;;0;;0;;;
475;404684003;Problemas;1;0;0;;;0;;0;;;
476;404684003;Problemas;1;0;0;;;0;;0;;;
477;404684003;Problemas;1;0;0;;;0;;0;;;
478;404684003;Problemas;1;0;0;;;0;;0;;;
479;404684003;Problemas;1;0;0;;;0;;0;;;
480;404684003;Problemas;1;0;0;;;0;;0;;;
482;404684003;Problemas;1;0;0;;;0;;0;;;
483;404684003;Problemas;1;0;0;;;0;;0;;;
484;404684003;Problemas;1;0;0;;;0;;0;;;
485;404684003;Problemas;1;0;0;;;0;;0;;;
486;404684003;Problemas;1;0;0;;;0;;0;;;
487;404684003;Problemas;1;0;0;;;0;;0;;;
488;404684003;Problemas;1;0;0;;;0;;0;;;
489;404684003;Problemas;1;0;0;;;0;;0;;;
490;404684003;Problemas;1;0;0;;;0;;0;;;
491;404684003;Problemas;1;0;0;;;0;;0;;;
492;404684003;Problemas;1;0;0;;;0;;0;;;
493;404684003;Problemas;1;0;0;;;0;;0;;;
494;404684003;Problemas;1;0;0;;;0;;0;;;
495;404684003;Problemas;1;0;0;;;0;;0;;;
496;404684003;Problemas;1;0;0;;;0;;0;;;
497;404684003;Problemas;1;0;0;;;0;;0;;;
498;404684003;Problemas;1;0;0;;;0;;0;;;
499;404684003;Problemas;1;0;0;;;0;;0;;;
500;404684003;Problemas;1;0;0;;;0;;0;;;
501;404684003;Problemas;1;0;0;;;0;;0;;;
502;404684003;Problemas;1;0;0;;;0;;0;;;
503;404684003;Problemas;1;0;0;;;0;;0;;;
504;404684003;Problemas;1;0;0;;;0;;0;;;
505;404684003;Problemas;1;0;0;;;0;;0;;;
